Org Name	Station ID	State	County	HUC	Generated HUC	Station Latitude	Station Longitude	Station Horizontal Datum	Visit Num	Activity ID	Activity Start	Activity Start Zone	Activity Medium	Activity Type	Activity Category-Rep Num	Activity Intent	Community Sampled	Subject Taxon	Biopart	Activity Depth	Activity Depth Unit	Sample Collection ID	Field Gear ID	Characteristic Name	Characteristic Description	Sample Fraction	Value Type	Statistic Type	Result Value as Text	Result Value Status	Result Value as Number	Units	Activity Comment	Result Comment	Result Measure Qualifier	Weight Basis	Temperature Basis	Duration Basis	Analytical Proc ID	All Result Detections/Thresholds	Analysis Date	Analysis Date Zone	Conf Level	Confidence Interval	Bio Individual Number	Sampling Component	Place In Series	Result Depth Height	Result Depth Height Unit	Result Depth Altitude Ref Point	Result Sampling Point	Bio Individual	Group Summary Count Weight	Frequency Class
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20030508:12336:2	2003-05-08 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Chloroperlidae 				21COL001_WQX~SCM	Kick Net	Chloroperlidae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=103202~Chloroperlidae~~~~~~~~~~~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Chloroperlidae - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20030508:12336:1	2003-05-08 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Rhyacophila pellisa 				21COL001_WQX~SCM	Kick Net	Rhyacophila pellisa	(Ross 1938) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=115114~Rhyacophila pellisa~~~~~~~~~~~count		Actual		2	Final	2	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 2 - Taxonomic Name as listed by CDPHE: Rhyacophila pellisa - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20030508:12336:2	2003-05-08 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Podmosta 				21COL001_WQX~SCM	Kick Net	Podmosta	(Ricker 1952) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102605~Podmosta~~~~~~~~~~~count		Actual		3	Final	3	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 3 - Taxonomic Name as listed by CDPHE: Podmosta - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Capniidae 				21COL001_WQX~SCM	Kick Net	Capniidae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102643~Capniidae~~~~~~~~~~~count		Actual		2	Final	2	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 2 - Taxonomic Name as listed by CDPHE: Capniidae - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:2	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Pagastia 				21COL001_WQX~SCM	Kick Net	Pagastia	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=128401~Pagastia~~~~~~~~~~~count		Actual		2	Final	2	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 2 - Taxonomic Name as listed by CDPHE: Pagastia - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Rhyacophila sibirica 				21COL001_WQX~SCM	Kick Net	Rhyacophila sibirica	(McLachlan 1879) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=568811~Rhyacophila sibirica~~~~~~~~~~~count		Actual		3	Final	3	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 3 - Taxonomic Name as listed by CDPHE: Rhyacophila sibirica group - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Taenionema 				21COL001_WQX~SCM	Kick Net	Taenionema	(Banks 1905) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102519~Taenionema~~~~~~~~~~~count		Actual		3	Final	3	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 3 - Taxonomic Name as listed by CDPHE: Taenionema - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:2	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Perlodidae 				21COL001_WQX~SCM	Kick Net	Perlodidae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102994~Perlodidae~~~~~~~~~~~count		Actual		6	Final	6	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 6 - Taxonomic Name as listed by CDPHE: Perlodidae - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:2	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Zapada 				21COL001_WQX~SCM	Kick Net	Zapada	(Ricker 1952) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102591~Zapada~~~~~~~~~~~count		Actual		39	Final	39	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 39 - Taxonomic Name as listed by CDPHE: Zapada - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:2	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Ceratopogonidae 				21COL001_WQX~SCM	Kick Net	Ceratopogonidae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=127076~Ceratopogonidae~~~~~~~~~~UserDefined~count		Actual		2	Final	2	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 2 - Taxonomic Name as listed by CDPHE: Ceratopogonidae - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20111011:12336:1	2011-10-11 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Zapada 				21COL001_WQX~SCM	Kick Net	Zapada	(Ricker 1952) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102591~Zapada~~~~~~~~~~~count		Actual		10	Final	10	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 10 - Taxonomic Name as listed by CDPHE: Zapada - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20030508:12336:1	2003-05-08 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Arctopsyche grandis 				21COL001_WQX~SCM	Kick Net	Arctopsyche grandis	(Banks 1900) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=115530~Arctopsyche grandis~~~~~~~~~~~count		Actual		5	Final	5	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 5 - Taxonomic Name as listed by CDPHE: Arctopsyche grandis - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:2	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Enchytraeidae 				21COL001_WQX~SCM	Kick Net	Enchytraeidae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=68510~Enchytraeidae~~~~~~~~~~~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Enchytraeidae - Fast or Slow Riffle?: Slow Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:1	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Invertebrates	Doddsia occidentalis 				21COL001_WQX~SCM	Kick Net	Doddsia occidentalis	(Banks 1900) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102839~Doddsia occidentalis~~~~~~~~~~~count		Actual		15	Final	15	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 15 - Taxonomic Name as listed by CDPHE: Doddsia occidentalis - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:1	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Invertebrates	Pagastia 				21COL001_WQX~SCM	Kick Net	Pagastia	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=128401~Pagastia~~~~~~~~~~~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Pagastia - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:1	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Invertebrates	Micropsectra 				21COL001_WQX~SCM	Kick Net	Micropsectra	(Kieffer 1909) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=129890~Micropsectra~~~~~~~~~~~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Micropsectra - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:1	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Invertebrates	Rhithrogena robusta 				21COL001_WQX~SCM	Kick Net	Rhithrogena robusta	(Dodds 1923) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=100589~Rhithrogena robusta~~~~~~~~~~~count		Actual		5	Final	5	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 5 - Taxonomic Name as listed by CDPHE: Rhithrogena robusta - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:1	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Invertebrates	Megarcys signata 				21COL001_WQX~SCM	Kick Net	Megarcys signata	(Hagen 1874) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=103111~Megarcys signata~~~~~~~~~~~count		Actual		2	Final	2	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 2 - Taxonomic Name as listed by CDPHE: Megarcys signata - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		19980923:12336:1	1998-09-23 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Invertebrates	Rhyacophila 				21COL001_WQX~SCM	Kick Net	Rhyacophila	(Pictet 1834) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=115097~Rhyacophila~~~~~~~~~~~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Rhyacophila - Fast or Slow Riffle?: Fast Riffle					~															
Colorado Dept. of Public Health & Environment-WQCD	12336	COLORADO	EL PASO	14010002	14010002	39.502819	-106.139769	NAD83       		20030508:12336:1	2003-05-08 00:00:00		Biological	Sample-Routine	Sample-Routine	Population Census	Benthic Macroinvertebrates	Pagastia 				21COL001_WQX~SCM	Kick Net	Pagastia	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=128401~Pagastia~~~~~~~~~~~count		Actual		1	Final	1	count		The count listed as the result is the number of individuals. The CO MMI Subsample (Ind_300) is: 1 - Taxonomic Name as listed by CDPHE: Pagastia - Fast or Slow Riffle?: Fast Riffle					~															
