Org Name	Station ID	State	County	HUC	Generated HUC	Station Latitude	Station Longitude	Station Horizontal Datum	Visit Num	Activity ID	Activity Start	Activity Start Zone	Activity Medium	Activity Type	Activity Category-Rep Num	Activity Intent	Community Sampled	Subject Taxon	Biopart	Activity Depth	Activity Depth Unit	Sample Collection ID	Field Gear ID	Characteristic Name	Characteristic Description	Sample Fraction	Value Type	Statistic Type	Result Value as Text	Result Value Status	Result Value as Number	Units	Activity Comment	Result Comment	Result Measure Qualifier	Weight Basis	Temperature Basis	Duration Basis	Analytical Proc ID	All Result Detections/Thresholds	Analysis Date	Analysis Date Zone	Conf Level	Confidence Interval	Bio Individual Number	Sampling Component	Place In Series	Result Depth Height	Result Depth Height Unit	Result Depth Altitude Ref Point	Result Sampling Point	Bio Individual	Group Summary Count Weight	Frequency Class
The Rivers of Colorado Water Watch Network (RiverWatch)	2204	COLORADO	SUMMIT	14010002	14010002	39.4692	-106.0452	NAD83       		2204.003	2015-09-16 13:00:00	MST	Biological	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment	Population Census	Benthic Macroinvertebrates	Pedicia 				Standard Methods~SCM-123	D-Frame Net	Pedicia	(Latreille 1809) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=121118~Pedicia~~~~~~~~~~UserDefined~count		Actual		1	Final	1	count	Multi-Taxon Population Census						~		2015-09-16 13:00:00	MST												Lifestage~Adult~~~
The Rivers of Colorado Water Watch Network (RiverWatch)	2204	COLORADO	SUMMIT	14010002	14010002	39.4692	-106.0452	NAD83       		2204.003	2015-09-16 13:00:00	MST	Biological	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment	Population Census	Benthic Macroinvertebrates	Polycelis coronata 				Standard Methods~SCM-123	D-Frame Net	Polycelis coronata	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=54512~Polycelis coronata~~~~~~~~~~UserDefined~count		Actual		12	Final	12	count	Multi-Taxon Population Census						~		2015-09-16 13:00:00	MST												
The Rivers of Colorado Water Watch Network (RiverWatch)	2204	COLORADO	SUMMIT	14010002	14010002	39.4692	-106.0452	NAD83       		2204.003	2015-09-16 13:00:00	MST	Biological	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment	Population Census	Benthic Macroinvertebrates	Perlodidae 				Standard Methods~SCM-123	D-Frame Net	Perlodidae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=102994~Perlodidae~~~~~~~~~~~count		Actual		1	Final	1	count	Multi-Taxon Population Census						~		2015-09-16 13:00:00	MST												
The Rivers of Colorado Water Watch Network (RiverWatch)	2204	COLORADO	SUMMIT	14010002	14010002	39.4692	-106.0452	NAD83       		2204.003	2015-09-16 13:00:00	MST	Biological	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment	Population Census	Benthic Macroinvertebrates	Lebertia 				Standard Methods~SCM-123	D-Frame Net	Lebertia	(Neuman 1880) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=83034~Lebertia~~~~~~~~~~UserDefined~count		Actual		3	Final	3	count	Multi-Taxon Population Census						~		2015-09-16 13:00:00	MST												
The Rivers of Colorado Water Watch Network (RiverWatch)	2204	COLORADO	SUMMIT	14010002	14010002	39.4692	-106.0452	NAD83       		2204.003	2015-09-16 13:00:00	MST	Biological	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment	Population Census	Benthic Macroinvertebrates	Lumbricidae 				Standard Methods~SCM-123	D-Frame Net	Lumbricidae	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69165~Lumbricidae~~~~~~~~~~~count		Actual		1	Final	1	count	Multi-Taxon Population Census						~		2015-09-16 13:00:00	MST												
The Rivers of Colorado Water Watch Network (RiverWatch)	2204	COLORADO	SUMMIT	14010002	14010002	39.4692	-106.0452	NAD83       		2204.003	2015-09-16 13:00:00	MST	Biological	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment	Population Census	Benthic Macroinvertebrates	Acentrella 				Standard Methods~SCM-123	D-Frame Net	Acentrella	(Bengtsson 1912) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=100801~Acentrella~~~~~~~~~~~count		Actual		1	Final	1	count	Multi-Taxon Population Census						~		2015-09-16 13:00:00	MST												
The Rivers of Colorado Water Watch Network (RiverWatch)	2204	COLORADO	SUMMIT	14010002	14010002	39.4692	-106.0452	NAD83       		2204.003	2015-09-16 13:00:00	MST	Biological	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment	Population Census	Benthic Macroinvertebrates	Simulium 				Standard Methods~SCM-123	D-Frame Net	Simulium	(Latreille 1802) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=126774~Simulium~~~~~~~~~~UserDefined~count		Actual		5	Final	5	count	Multi-Taxon Population Census						~		2015-09-16 13:00:00	MST												
The Rivers of Colorado Water Watch Network (RiverWatch)	2204	COLORADO	SUMMIT	14010002	14010002	39.4692	-106.0452	NAD83       		2204.003	2015-09-16 13:00:00	MST	Biological	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment	Population Census	Benthic Macroinvertebrates	Baetis tricaudatus 				Standard Methods~SCM-123	D-Frame Net	Baetis tricaudatus	(Dodds 1923) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=100817~Baetis tricaudatus~~~~~~~~~~~count		Actual		98	Final	98	count	Multi-Taxon Population Census						~		2015-09-16 13:00:00	MST												
The Rivers of Colorado Water Watch Network (RiverWatch)	2204	COLORADO	SUMMIT	14010002	14010002	39.4692	-106.0452	NAD83       		2204.003	2015-09-16 13:00:00	MST	Biological	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment	Population Census	Benthic Macroinvertebrates	Micropsectra 				Standard Methods~SCM-123	D-Frame Net	Micropsectra	(Kieffer 1909) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=129890~Micropsectra~~~~~~~~~~~count		Actual		5	Final	5	count	Multi-Taxon Population Census						~		2015-09-16 13:00:00	MST												
The Rivers of Colorado Water Watch Network (RiverWatch)	2204	COLORADO	SUMMIT	14010002	14010002	39.4692	-106.0452	NAD83       		2204.003	2015-09-16 13:00:00	MST	Biological	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment	Population Census	Benthic Macroinvertebrates	Tipula 				Standard Methods~SCM-123	D-Frame Net	Tipula	(Linnaeus 1758) ~ http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=119037~Tipula~~~~~~~~~~UserDefined~count		Actual		2	Final	2	count	Multi-Taxon Population Census						~		2015-09-16 13:00:00	MST												
