Org Name	Station ID	State	County	HUC	Generated HUC	Station Latitude	Station Longitude	Station Horizontal Datum	Visit Num	Activity ID	Activity Start	Activity Start Zone	Activity Type	Activity Category-Rep Num	Habitat Class Name	Characteristic Name	Characteristic Description	Sample Fraction	Value Type	Statistic Type	Result Value as Text	Result Value Status	Result Value as Number	Units	Activity Comment	Result Comment	Result Measure Qualifier	Weight Basis	Temperature Basis	Duration Basis	Analytical Proc ID	All Result Detections/Thresholds	Analysis Date	Analysis Date Zone	Conf Level	Confidence Interval	Result Depth Height	Result Depth Height Unit	Result Depth Altitude Ref Point	Result Sampling Point
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Habitat type, vegetated banks (%)	RBP2, Habitat type, vegetated banks (%)~~~~~~~~~%		Actual		5	Validated	5	%	Phys Hab						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Riparian Vegetation, Dominant Species Present (choice list)	RBP2, Riparian Vegetation, Dominant Species Present (choice list)~~~~~~~~~None		Actual		TREES	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Riparian Vegetation, Dominant Species Present (choice list)	RBP2, Riparian Vegetation, Dominant Species Present (choice list)~~~~~~~~~None		Actual		TREES	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Watershed, Predominant Surrounding Landuse (choice list)	RBP2, Watershed, Predominant Surrounding Landuse (choice list)~~~~~~~~~None		Actual		RESIDENTIAL	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Riparian Vegetation, Dominant Species Present (choice list)	RBP2, Riparian Vegetation, Dominant Species Present (choice list)~~~~~~~~~None		Actual		SHRUBS	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Riparian Vegetation, Dominant Species Present (choice list)	RBP2, Riparian Vegetation, Dominant Species Present (choice list)~~~~~~~~~None		Actual		SHRUBS	Validated		None	Phys Hab	Yes					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Habitat type, run (%)	RBP2, Habitat type, run (%)~~~~~~~~~%		Actual		90	Validated	90	%	Phys Hab						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Habitat type, riffle (%)	RBP2, Habitat type, riffle (%)~~~~~~~~~%		Actual		10	Validated	10	%	Phys Hab						~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Aquatic vegetation, portion of reach with AV (%)	RBP2, Aquatic vegetation, portion of reach with AV (%)~~~~~~~~~%		Actual		0	Validated	0	%	Phys Hab	did not complete					~		2008-12-07 14:30:00	MST						
The Rivers of Colorado Water Watch Network (RiverWatch)	251	COLORADO	GRAND	14010002	14010002	39.9232716	-106.3480649	NAD83       		251.106RPH	2008-12-07 14:30:00	MST	Field Msr/Obs-Habitat Assessment	Field Msr/Obs-Habitat Assessment		RBP2, Instream Features, Canopy Cover (choice list)	RBP2, Instream Features, Canopy Cover (choice list)~~~~~~~~~None		Actual		PARTLY OPEN	Validated		None	Phys Hab	10% of stream covered with bank canopy					~		2008-12-07 14:30:00	MST						
